Remetente - Nome;Veículo - Placa;CTE;Data emissão Cte; Total ;Mês emissão Cte;REQ/TMC/N° Embarque;Data RQ/TMC;Data Envio do processo Faturamento;Faturas;Data INCLUSÃO Fatura Bsoft;1° Envio;Data do atesto;Envio final;OBSERVAÇÃO
BAKER HUGHES DO BRASIL LTDA;KOR7G99;20849;03/jun/24;R$ 614,27;jun/24;477187870;03/jun/24;06/jun/24;5023580;11/jun/24;06/jun/24;;;"Carga agendada #: 477187870   BRA IM 24 2191 - 2192  CWI CC 870151700   CONTA CONTABIL 500210 ;
Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;

"
BAKER HUGHES DO BRASIL LTDA;KXO7J95;823;26/nov/24;R$ 489,47;nov/24;;26/nov/24;28/nov/24;;;28/nov/24;29/mai/25;;
BAKER HUGHES DO BRASIL LTDA;KXO7J95;840;17/dez/24;R$ 553,30;dez/24;;17/dez/24;19/dez/24;;;19/dez/24;29/mai/25;;
BAKER HUGHES DO BRASIL LTDA;KOR7G99;21706;12/fev/25;R$ 606,63;fev/25;505252872;12/fev/25;14/fev/25;5024399;07/mar/25;14/fev/25;;;"Carga agendada #: 505252872 BRA IM 25 0232- 0363  WS CC 110141008  CONTA CONTABIL 500210    CAMINHÃO TOCO Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;933;16/mai/25;R$ 1.023,40;mai/25;;16/mai/25;19/mai/25;;;19/mai/25;;;
BAKER HUGHES DO BRASIL LTDA;KQO5E26;934;20/mai/25;R$ 757,36;mai/25;;20/mai/25;20/mai/25;1624;;12/jun/25;;;
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KXO7J95;22147;03/jun/25;R$ 1.753,05;jun/25;516895928;03/jun/25;03/jun/25;5024832;23/jun/25;;;;"Carga agendada #: 516895928    BRAEX 25 0264  CWI  170151600 CONTA CONTABIL 500210   Veiculo Placa: KXO7J95  -  Motorista: JOAM SANTOS DE SOUZA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KOR7G99;22184;12/jun/25;R$ 570,88;jun/25;518185329;12/jun/25;12/jun/25;5024868;10/jul/25;16/jun/25;;;"Carga agendada #: 518185329     BRAIM 25 1966 1977   PP  CC 175160000  CONTA CONTABIL 500210   Veiculo Placa: KOR7G99  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYE1I22;959;18/jun/25;R$ 705,26;jun/25;;18/jun/25;18/jun/25;;;;;;
ENGEMONT USINAGEM E SERVICOS INDUSTRIAIS EIRELI;KPG7I19;22383;29/jul/25;R$ 5.032,39;jul/25;S-0715/2025;29/jul/25;29/jul/25;;;31/jul/25;30/jul/25;31/jul/25;"S-0715/2025   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYN6481;966;08/jul/25;R$ 4.242,10;jul/25;;08/jul/25;08/jul/25;;;;;;
BAKER HUGHES DO BRASIL LTDA;KQO5E26;22320;15/jul/25;R$ 931,35;jul/25;521795038;15/jul/25;15/jul/25;;;29/jul/25;;;"Carga agendada #: 521795038    BRA EX 25 0329-  WS 110141008  CONTA CONTABIL 500210   Veiculo Placa: KQO5E26  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;LSB2007;22326;16/jul/25;R$ 1.232,50;jul/25;"521891555
";16/jul/25;16/jul/25;;;29/jul/25;;;"Carga Ofertada #: 521891555      BRA EX 25 0339-   DS 120158023  CONTA CONTABIL 500210   F OUTROS 2 = AD QUIMICO  Veiculo Placa: LSB2007  -  Motorista: OSVALDO PORTO BASTOS;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
BAKER HUGHES DO BRASIL LTDA;KYN6481;967;16/jul/25;R$ 1.687,31;jul/25;;16/jul/25;16/jul/25;;;;;;
BAKER HUGHES DO BRASIL LTDA;KYN6481;968;17/jul/25;R$ 1.709,60;jul/25;;17/jul/25;17/jul/25;;;;;;
BAKER HUGHES DO BRASIL LTDA;KQO5E26;969;18/jul/25;R$ 972,14;jul/25;;18/jul/25;18/jul/25;;;;;;
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22357;22/jul/25;R$ 2.010,26;jul/25;522579431;22/jul/25;22/jul/25;;;28/jul/25;;;"Carga agendada #: 522579431  BRA IM 25 2278-2517- 1626- 2570 - 2302- 1939- 2487 DS CC 120158023 CONTA CONTABIL 500210   Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA;KPG7I19;22356;22/jul/25;R$ 3.805,42;jul/25;522579431;22/jul/25;22/jul/25;;;28/jul/25;;;"Carga agendada #: 522579431  BRA IM 25 2622-2630 - 2637- 2393- 2417- 2618- 2072- 2334 -2387   CWI  CC 870151700 CONTA CONTABIL 500210 Veiculo Placa: KPG7I19  -  Motorista: RIVELINO DOS SANTOS SILVA;
EZZE SEGUROS S/A - Numero da apolice:1065406002313;"
